"title","rating","name"
"Code Craft: The Practice of Writing Excellent Code","3.96","No Starch Press"
"High Performance MySQL: Optimization, Backups, Replication & Load Balancing","4.24","O'Reilly Media"
"Web Form Design: Filling in the Blanks","4.04","Rosenfeld Media"
"Antipatterns: Refactoring Software, Architectures, and Projects in Crisis","3.79","Wiley Publishing"
"Cassandra: The Definitive Guide","3.59","O'Reilly Media"
"Algorithms in C++","3.94","Addison Wesley"
"Agile Retrospectives: Making Good Teams Great","3.91","Pragmatic Bookshelf"
"The Art of Scalability: Scalable Web Architecture, Processes, and Organizations for the Modern Enterprise","3.96","Addison Wesley"
"Core Python Programming","3.86","Prentice Hall"
"Algorithms in C, Parts 1-4: Fundamentals, Data Structures, Sorting, Searching","4.14","Addison Wesley"
"The Art of Computer Programming, Volume 4, Fascicles 0-4","5.00","Addison Wesley"
"Concepts in Programming Languages","3.45","Cambridge University Press"
"Data and Computer Communications","3.87","Prentice Hall"
"The Society of Mind","4.01","Simon & Schuster"
"The Emotion Machine: Commonsense Thinking, Artificial Intelligence, and the Future of the Human Mind","3.76","Simon & Schuster"
"Data Structures and Algorithms in C++","3.70","Course Technology"
"Artificial Intelligence for Games (The Morgan Kaufmann Series in Interactive 3D Technology)","4.17","CRC Press"
"Programming in Python 3: A Complete Introduction to the Python Language","3.69","Addison Wesley"
"The Internet of Money","4.13","Merkle Bloom LLC"
"The Art of Electronics","4.33","Cambridge University Press"
"A Pattern Language: Towns, Buildings, Construction","4.39","Oxford University Press, USA"
"Distributed Systems","4.09","Createspace Independent Publishing Platform"
"The Hardware Hacker: Adventures in Making and Breaking Hardware","4.29","No Starch Press"
"Kotlin in Action","4.50","Manning"
"Web Scraping with Python: Collecting Data from the Modern Web","4.14","O'Reilly Media"
"What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry","3.81","Penguin"
"Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley","3.72","Harper"
"Hello Ruby: Adventures in Coding","3.90","Feiwel & Friends"
"Zero Bugs and Program Faster","3.71","Kate Thompson"
"Steal This Computer Book 4.0 Acâ‚¬â€o What They WonAcâ‚¬2t Tell You About the Internet 4e","3.66","No Starch Press"
"Software Architecture Patterns","3.69","O'Reilly Media"
"Elixir in Action, Second Edition","4.50","Manning"
"The Robert C. Martin Clean Code Collection (Collection)","4.51","Prentice Hall"
"The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future","3.96","Viking Books"
"Database Systems: A Practical Approach to Design, Implementation and Management","3.67","Addison Wesley"
"Ada Byron Lovelace and the Thinking Machine","4.19","Creston Books"
"Structured Programming","4.23","Academic Press"
"Amazon Web Services in Action","3.81","Manning"
"Free Software, Free Society: Selected Essays","4.13","Free Software Foundation"
"Reactive Messaging Patterns with the Actor Model: Applications and Integration in Scala and Akka","3.56","Addison Wesley"
"Management 3.0: Leading Agile Developers, Developing Agile Leaders","4.14","Addison Wesley"
"Modern C++ Programming with Test-Driven Development: Code Better, Sleep Better","4.43","Pragmatic Bookshelf"
"Java: A Beginner's Guide (Beginner's Guide)","3.96","McGraw-Hill"
"Program or Be Programmed: Ten Commands for a Digital Age","3.69","OR Books"
"Data Structure and Algorithmic Thinking with Python","4.10","Careermonk Publications"
"Theory of Recursive Functions and Effective Computability","4.00","MIT"
"Dataclysm: Who We Are (When We Think No One's Looking)","3.74","Crown"
"Linux Bible","4.30","Wiley Publishing"
"Java:  The Complete Reference","4.15","McGraw-Hill"
"Black Hat Python: Python Programming for Hackers and Pentesters","4.07","No Starch Press"
"A Bug Hunter's Diary: A Guided Tour Through the Wilds of Software Security","3.92","No Starch Press"
"Advanced Concepts in Operating Systems","3.96","McGraw-Hill"
"A History of Modern Computing","3.96","MIT"
"Intuition Pumps And Other Tools for Thinking","3.79","W. W. Norton Company"
"Flash Boys: A Wall Street Revolt","4.14","W. W. Norton Company"
"The Search: How Google and Its Rivals Rewrote the Rules of Business and Transformed Our Culture","3.83","Portfolio Hardcover"
"Introduction to Reliable and Secure Distributed Programming","4.41","Springer"
"Reinventing Discovery: The New Era of Networked Science","3.92","Princeton University Press"
"Hacking the Xbox: An Introduction to Reverse Engineering","4.07","No Starch Press"
"R Graphics Cookbook: Practical Recipes for Visualizing Data","4.24","O'Reilly Media"
"21st Century C: C Tips from the New School","3.81","O'Reilly Media"
"MongoDB: The Definitive Guide","3.85","O'Reilly Media"
"Foundations of Computer Science","3.95","Thomson Learning"
"Programming from the Ground Up","4.12","Bartlett Publishing"
"Agile Software Development with Scrum","3.82","Pearson"
"The Quick Python Book","3.82","Manning"
"Kanban: Successful Evolutionary Change for Your Technology Business","3.97","Blue Hole Press"
"Team Geek: A Software Developer's Guide to Working Well with Others","3.97","O'Reilly Media"
"Data Structures and Algorithm Analysis in Java","3.63","Addison Wesley"
"Fundamentals of Computer Graphics","3.67","A K PETERS"
"Rework","3.94","Crown Business"
"Conceptual Mathematics: A First Introduction To Categories","4.32","Cambridge University Press"
"Object-Oriented Programming in C++","4.11","Sams Publishing"
"Design for Hackers: Reverse Engineering Beauty","3.74","Wiley Publishing"
"The Sciences of the Artificial","4.23","MIT"
"Certified Programming with Dependent Types: A Pragmatic Introduction to the Coq Proof Assistant","4.09","MIT"
"Test Driven: Practical TDD and Acceptance TDD for Java Developers","3.83","Manning"
"Python Pocket Reference","4.00","O'Reilly Media"
"SCJP Sun Certified Programmer for Java 6 Study Guide","4.28","McGraw-Hill"
"Computer Organization","3.67","McGraw-Hill"
"Refactoring Databases: Evolutionary Database Design","3.70","Addison Wesley"
"jQuery: Novice to Ninja","3.91","SitePoint"
"Thinking in C++, Volume One: Introduction to Standard C++","4.12","Pearson"
"Learning Java","3.60","O'Reilly Media"
"Managing Humans: Biting and Humorous Tales of a Software Engineering Manager","3.97","Apress"
"Programming the Semantic Web","3.69","O'Reilly Media"
"CSS3 For Web Designers","4.06","A Book Apart"
"Data Communications and Networking (McGraw-Hill Forouzan Networking)","3.90","McGraw-Hill"
"SQL and Relational Theory: How to Write Accurate SQL Code","3.75","O'Reilly Media"
"The Art of Computer Programming, Volume 4, Fascicle 4: Generating All Trees--History of Combinatorial Generation","4.50","Addison Wesley"
"How Would You Move Mount Fuji? Microsoft's Cult of the Puzzle--How the World's Smartest Companies Select the Most Creative Thinkers","3.57","Little, Brown and Company"
"The Road Ahead","3.69","Viking Books"
"Being Geek: The Software Developer's Career Handbook","3.70","O'Reilly Media"
"The Art of Software Testing","3.69","Wiley Publishing"
"The RSpec Book","3.87","Pragmatic Bookshelf"
"The Implementation (TCP/IP Illustrated, Volume 2)","4.21","Addison Wesley"
"Communicating Sequential Processes (Prentice Hall International Series in Computing Science)","4.33","Prentice Hall"
"Interactive Theorem Proving and Program Development: Coq Art: The Calculus of Inductive Constructions","3.86","Springer"
"Garbage Collection: Algorithms for Automatic Dynamic Memory Management","4.13","Wiley Publishing"
"Database Systems: Design, Implementation, and Management","3.56","Course Technology"
"Learning GNU Emacs","3.63","O'Reilly Media"
"Essential System Administration: Tools and Techniques for Linux and Unix Administration","3.96","O'Reilly Media"
"TCP/IP Network Administration","3.86","O'Reilly Media"
"PHP & MySQL For Dummies","3.54","Wiley Publishing"
"The Art of Computer Programming, Volume 1, Fascicle 1: MMIX -- A RISC Computer for the New Millennium","4.19","Addison Wesley"
"Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions","4.18","Addison Wesley"
"The Little Typer","4.35","The MIT Press"
"Mathematics for Computer Science","3.91","MIT"
"Cryptography: Theory and Practice (Discrete Mathematics and Its Applications)","3.71","CRC Press"
"Introduction to Artificial Intelligence","3.75","Dover Publications"
"Software Project Survival Guide","3.82","Microsoft Press"
"Speaking JavaScript","4.37","O'Reilly Media"
"Prediction Machines: The Simple Economics of Artificial Intelligence","4.00","Harvard Business Review Press"
"Introduction to Linear Algebra","4.20","Wellesley College"
"Girls Who Code: Learn to Code and Change the World","4.10","Virgin Books"
"Technically Wrong: Sexist Apps, Biased Algorithms, and Other Threats of Toxic Tech","4.16","W. W. Norton Company"
"Think Java: How to Think Like a Computer Scientist","3.66","Green Tea Press"
"Quantum Computer Science","3.59","Cambridge University Press"
"Designing Distributed Systems: Patterns and Paradigms for Scalable, Reliable Services","3.53","O'Reilly Media"
"UNIX in a Nutshell: A Desktop Quick Reference - Covers GNU/Linux, Mac OS X, and Solaris","3.90","O'Reilly Media"
"Envisioning Information","4.22","Graphics Press"
"Programming Collective Intelligence: Building Smart Web 2.0 Applications","4.07","O'Reilly Media"
"Bitcoin and Cryptocurrency Technologies: A Comprehensive Introduction","4.41","Princeton University Press"
"Intermediate Perl","3.97","O'Reilly Media"
"Head First Python","3.77","O'Reilly Media"
"Type-Driven Development with Idris","4.51","Manning"
"Functional and Reactive Domain Modeling","4.19","Manning"
"Future Crimes: Everything Is Connected, Everyone Is Vulnerable, and What We Can Do About It","3.94","Doubleday"
"Blockchain: Blueprint for a New Economy","3.31","O'Reilly Media"
"Metaprogramming Ruby 2: Program Like the Ruby Pros","4.47","Pragmatic Bookshelf"
"Computing: A Concise History","3.63","MIT"
"If Hemingway Wrote JavaScript","4.17","No Starch Press"
"Just Enough Software Architecture: A Risk-Driven Approach","3.53","Marshall & Brainerd"
"Software Architecture for Developers: Volume 1 - Technical leadership and the balance with agility","3.84","Leanpub"
"High Performance Python: Practical Performant Programming for Humans","4.17","O'Reilly Media"
"Introduction to Computing Systems: From Bits & Gates to C & Beyond","3.77","McGraw-Hill"
"Learning Agile: Understanding Scrum, XP, Lean, and Kanban","4.12","O'Reilly Media"
"Computability, Complexity, and Languages: Fundamentals of Theoretical Computer Science (Computer Science and Scientific Computing)","3.96","Morgan Kaufmann Publishers"
"Reactive Design Patterns","3.54","Manning"
"Counter Hack Reloaded: A Step-By-Step Guide to Computer Attacks and Effective Defenses","3.96","Prentice Hall"
"Android Programming: The Big Nerd Ranch Guide","4.31","Big Nerd Ranch Guides"
"Data Structures and Algorithms in Python","4.08","Wiley Publishing"
"The Basics of Hacking and Penetration Testing: Ethical Hacking and Penetration Testing Made Easy","3.91","Syngress"
"Getting Started with OAuth 2.0","3.50","O'Reilly Media"
"Parallel and Concurrent Programming in Haskell: Techniques for Multicore and Multithreaded Programming","4.54","O'Reilly Media"
"In Pursuit of the Traveling Salesman: Mathematics at the Limits of Computation","3.88","Princeton University Press"
"ggplot2: Elegant Graphics for Data Analysis","4.31","Springer"
"Distributed Operating Systems","3.96","Pearson"
"SciPy and NumPy: An Overview for Developers","2.96","O'Reilly Media"
"Scala in Depth","3.93","Manning"
"Implementation Patterns","3.62","Addison Wesley"
"Networks, Crowds, and Markets: Reasoning about a Highly Connected World","4.17","Cambridge University Press"
"Cypherpunks: Freedom and the Future of the Internet","3.70","OR Books"
"Selected Writings on Computing: A Personal Perspective","4.25","Springer"
"The Practice of System and Network Administration","4.39","Addison Wesley"
"Tubes: A Journey to the Center of the Internet","3.50","Ecco"
"Getting Started with Arduino","3.78","Maker Media, Inc"
"The Object-Oriented Thought Process","3.68","Addison Wesley"
"Joe Celko's SQL for Smarties: Advanced SQL Programming","3.95","Morgan Kaufmann Publishers"
"Practical C Programming","3.68","O'Reilly Media"
"Java in a Nutshell","3.81","O'Reilly Media"
"Parsing Techniques: A Practical Guide","4.20","Springer"
"The Art of Computer Programming, Volume 4, Fascicle 2: Generating All Tuples and Permutations","4.70","Addison Wesley"
"The Art of Computer Programming, Volume 4, Fascicle 1: Bitwise Tricks & Techniques; Binary Decision Diagrams","4.73","Addison Wesley"
"The Old New Thing: Practical Development Throughout the Evolution of Windows","3.92","Addison Wesley"
"Inside the Machine","4.13","No Starch Press"
"Python in a Nutshell","3.88","O'Reilly Media"
"Head First Software Development","3.93","O'Reilly Media"
"Programming Game AI by Example","4.07","Jones & Bartlett Publishers"
"Lex & Yacc","3.68","O'Reilly Media"
"Implementing Lean Software Development: From Concept to Cash","4.16","Addison Wesley"
"Head First Servlets and JSP: Passing the Sun Certified Web Component Developer Exam","4.16","O'Reilly Media"
"Distributed Algorithms","4.19","Morgan Kaufmann Publishers"
"Why's (Poignant) Guide to Ruby","4.05","Attribution-ShareAlike License"
"Perl Best Practices: Standards and Styles for Developing Maintainable Code","4.27","O'Reilly Media"
"HTML & XHTML: The Definitive Guide","3.91","O'Reilly Media"
"Lisp","3.98","Addison Wesley"
"Broad Band: The Untold Story of the Women Who Made the Internet","4.00","Portfolio"
"Gray Hat Hacking: The Ethical Hacker's Handbook","4.09","McGraw-Hill"
"Machine Learning","3.62","The MIT Press"
"Once Upon an Algorithm: How Stories Explain Computing","3.81","MIT"
"Feynman And Computation","4.42","Westview Press"
"Your Code As a Crime Scene: Use Forensic Techniques to Arrest Defects, Bottlenecks, and Bad Design in Your Programs","3.59","Pragmatic Bookshelf"
"Python Data Science Handbook: Tools and Techniques for Developers","4.28","O'Reilly Media"
"Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun","4.33","The Pragmatic Programmers, LLC."
"Spam Nation: The Inside Story of Organized Cybercrime Acâ‚¬â€? from Global Epidemic to Your Front Door","3.72","Sourcebooks"
"C Programming Absolute Beginner's Guide","4.24","Que Publishing"
"Assembly Language: Step-By-Step","4.22","Wiley Publishing"
"The Little MLer","3.91","MIT"
"Lambda-Calculus and Combinators: An Introduction","3.80","Cambridge University Press"
"More Programming Pearls: Confessions of a Coder","4.03","Addison Wesley"
"But How Do It Know? - The Basic Principles of Computers for Everyone","4.49","John C. Scott"
"Learning Spark","3.87","O'Reilly Media"
"Java Performance: The Definitive Guide","4.38","O'Reilly Media"
"Red Team Field Manual (RTFM)","4.22","Createspace Independent Publishing Platform"
"Systems Performance: Enterprise and the Cloud","4.47","Prentice Hall"
"Learning Javascript Design Patterns","3.84","O'Reilly Media"
"SQL Performance Explained","4.34","Markus Winand (2012)"
"Python 3 Object Oriented Programming","4.01","Packt Publishing"
"The Google Resume: How to Prepare for a Career and Land a Job at Apple, Microsoft, Google, or Any Top Tech Company","3.77","John Wiley & Sons"
"C++ Coding Standards: 101 Rules, Guidelines, and Best Practices","4.20","Addison Wesley"
"WindowsÂ® Internals, Part 2: Covering Windows ServerÂ® 2008 R2 and Windows 7","4.54","Microsoft Press"
"The Healthy Programmer","3.73","The Pragmatic Programmers, LLC."
"Practical Cryptography","4.18","Wiley Publishing"
"Continuous Integration: Improving Software Quality and Reducing Risk","3.79","Addison Wesley"
"Sams Teach Yourself SQLAcâ€žc in 10 Minutes","4.02","Sams Publishing"
"Data Structures and Algorithm Analysis in C","3.80","Pearson"
"The Master Switch: The Rise and Fall of Information Empires","3.84","Knopf"
"Bayesian Reasoning and Machine Learning","4.11","Cambridge University Press"
"Computer Science Illuminated","3.55","Jones & Bartlett Publishers"
"Functional JavaScript: Introducing Functional Programming with Underscore.js","4.07","O'Reilly Media"
"The Design of Everyday Things","4.19","Basic Books"
"We Are Anonymous: Inside the Hacker World of LulzSec, Anonymous, and the Global Cyber Insurgency","3.94","Little, Brown and Company"
"A First Course in Logic: An Introduction to Model Theory, Proof Theory, Computability, and Complexity","4.31","OUP Oxford"
"Effective JavaScript: 68 Specific Ways to Harness the Power of JavaScript","4.32","Addison Wesley"
"Fire in the Valley: The Making of the Personal Computer","4.11","McGraw-Hill"
"Practical Malware Analysis: The Hands-On Guide to Dissecting Malicious Software","4.43","No Starch Press"
"Objective-C Programming: The Big Nerd Ranch Guide","4.17","Addison Wesley"
"The Art Of Prolog: Advanced Programming Techniques","3.79","MIT"
"Think Stats","3.66","O'Reilly Media"
"Learning SQL","3.86","O'Reilly Media"
"GA¶del's Proof","4.14","New York University Press"
"Essentials of Computer Organization and Architecture","3.20","Jones & Bartlett Publishers"
"jQuery in Action","3.94","Manning"
"The Art and Science of Java","3.99","Pearson"
"Death March","3.83","Prentice Hall"
"Programming Scala: Scalability = Functional Programming + Objects","3.72","O'Reilly Media"
"Compiler Construction: Principles and Practice","3.90","Cengage Learning"
"Programming Clojure","3.82","Pragmatic Bookshelf"
"OpenGL SuperBible: Comprehensive Tutorial and Reference","3.99","Addison Wesley"
"Thinking Forth","3.91","Punchy Publishing"
"Linkers and Loaders","3.96","Morgan Kaufmann Publishers"
"Processing: A Programming Handbook for Visual Designers and Artists","4.15","MIT"
"Designing Web Usability","3.80","New Riders Publishing"
"The Scheme Programming Language","3.94","MIT"
"Python Essential Reference (Developer's Library)","4.21","Sams Publishing"
"C Programming: A Modern Approach","4.26","W. W. Norton Company"
"Modern Compiler Implementation in Java","3.47","Cambridge University Press"
"WindowsA‚Â® Internals (PRO-Developer)","4.46","Microsoft Press"
"Designing Interfaces: Patterns for Effective Interaction Design","3.82","O'Reilly Media"
"Theoretische Informatik - kurzgefasst","3.67","Spektrum Akademischer Verlag"
"The Manga Guide to Databases","4.05","No Starch Press"
"Randomized Algorithms","4.06","Cambridge University Press"
"The Haskell School of Expression: Learning Functional Programming Through Multimedia","3.72","Cambridge University Press"
"Rocket Surgery Made Easy: The Do-It-Yourself Guide to Finding and Fixing Usability Problems","4.11","New Riders Publishing"
"Artificial Intelligence: Structures and Strategies for Complex Problem Solving","3.69","Addison Wesley"
"A Madman Dreams of Turing Machines","3.67","Alfred A. Knopf"
"High Performance JavaScript","4.05","Yahoo Press"
"Principles of Computer System Design: An Introduction","3.70","Morgan Kaufmann Publishers"
"Algorithmic Game Theory","4.19","Cambridge University Press"
"Neural Networks: A Comprehensive Foundation","3.89","Prentice Hall"
"Running Linux","3.70","O'Reilly Media"
"UNIX Network Programming, Volume 1: The Sockets Networking API","4.35","Addison Wesley"
"The Java Programming Language","3.80","Addison Wesley"
"Computer Power and Human Reason: From Judgment to Calculation","4.29","W.H. Freeman & Company"
"Programming Challenges: The Programming Contest Training Manual","4.04","Springer"
"How to Solve It: Modern Heuristics","3.98","Springer"
"Writing Effective Use Cases","3.95","Addison Wesley"
"Concurrent Programming in Javai?1: Design Principles and Pattern","4.18","Addison Wesley"
"Hello World: Being Human in the Age of Algorithms","4.14","W. W. Norton Company"
"A Mind at Play: How Claude Shannon Invented the Information Age","4.15","Simon & Schuster"
"More Effective C++","4.33","Addison Wesley"
"The Little Prover","3.96","MIT"
"The Dark Net: Inside the Digital Underworld","3.66","William Heinemann"
"Physically Based Rendering: From Theory to Implementation","4.58","Morgan Kaufmann Publishers"
"Competitive Programming 3","4.62","Lulu"
"Coding the Matrix: Linear Algebra through Computer Science Applications","4.32","createspace"
"Zero to One: Notes on Startups, or How to Build the Future","4.16","Crown Business"
"Readings in Database Systems","4.71","Morgan Kaufmann Publishers"
"The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling","4.12","John Wiley & Sons"
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming","4.25","No Starch Press"
"Data Smart: Using Data Science to Transform Information into Insight","4.17","John Wiley & Sons"
"The Principles of Object-Oriented JavaScript","4.38","No Starch Press"
"The UNIX Hater's Handbook: The Best of UNIX-Haters On-line Mailing Reveals Why UNIX Must Die,","3.68","IDG Books Worldwide, Inc."
"Thinking in Systems: A Primer","4.26","Chelsea Green Publishing"
"The Art of Prolog: Advanced Programming Techniques","3.91","MIT"
"Tcp/IP Illustrated, Volume 1: The Protocols","4.60","Addison Wesley"
"Realm of Racket: Learn to Program, One Game at a Time,","3.69","No Starch Press"
"Metamagical Themas: Questing for the Essence of Mind and Pattern","4.18","Basic Books"
"Hadoop: The Definitive Guide","3.94","O'Reilly Media"
"Complexity: A Guided Tour","4.06","Oxford University Press, USA"
"Principles of Compiler Design","3.97","Addison Wesley"
"Version Control with Git","3.89","O'Reilly Media"
"Mindstorms: Children, Computers, And Powerful Ideas","4.30","Basic Books"
"Specification by Example","4.04","Manning"
"Algorithmic Puzzles","4.11","Oxford University Press, USA"
"You Are Not a Gadget","3.54","Alfred A. Knopf"
"Smalltalk Best Practice Patterns","4.18","Prentice Hall"
"Mathematics for 3D Game Programming and Computer Graphics","4.05","Cengage Learning"
"Code Simplicity: The Fundamentals of Software","3.62","O'Reilly Media"
"Framework Design Guidelines: Conventions, Idioms, and Patterns for Reusable .NET Libraries","4.21","Addison Wesley"
"Logicomix: An Epic Search for Truth","4.03","Bloomsbury (NYC)"
"Introduction to Modern Cryptography: Principles and Protocols","4.30","CRC Press"
"Modern Compiler Implementation in ML","3.91","Cambridge University Press"
"Debugging: The 9 Indispensable Rules for Finding Even the Most Elusive Software and Hardware Problems","4.22","AMACOM"
"Metaprogramming Ruby","4.33","Pragmatic Bookshelf"
"DNS and BIND","3.96","O'Reilly Media"
"Social Engineering: The Art of Human Hacking","3.82","Wiley Publishing"
"Modern Compiler Implementation in C","3.60","Cambridge University Press"
"Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists","4.05","O'Reilly Media"
"The Art of Computer Programming, Volume 4, Fascicle 3: Generating All Combinations and Partitions","4.50","Addison Wesley"
"The Agile Samurai: How Agile Masters Deliver Great Software","3.93","The Pragmatic Programmers, LLC."
"Handbook of Applied Cryptography","4.03","CRC Press"
"Algorithmics: The Spirit of Computing","3.94","Addison Wesley"
"Haskell: The Craft of Functional Programming","3.53","Addison Wesley"
"WindowsÂ® Internals, Part 1: Covering Windows ServerÂ® 2008 R2 and Windows 7","4.43","Microsoft Press"
"Data Structures and Algorithms in Java","4.09","Sams Publishing"
"The Man Who Knew Too Much: Alan Turing and the Invention of the Computer","3.48","W. W. Norton Company"
"Free as in Freedom: Richard Stallman's Crusade for Free Software","3.81","O'Reilly Media"
"The Design and Implementation of the FreeBSD Operating System","4.31","Addison Wesley"
"Eloquent Ruby","4.35","Addison Wesley"
"Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age","4.13","Harper"
"LISP in Small Pieces","4.28","Cambridge University Press"
"User Stories Applied: For Agile Software Development","3.88","Addison Wesley"
"REST in Practice: Hypermedia and Systems Architecture","3.82","O'Reilly Media"
"Agile Estimating and Planning","4.09","Prentice Hall"
"Neural Networks for Pattern Recognition","4.07","Clarendon Press"
"iWoz: Computer Geek to Cult Icon: How I Invented the Personal Computer, Co-Founded Apple, and Had Fun Doing It","3.85","W. W. Norton Company"
"Database Management Systems","3.76","McGraw-Hill"
"97 Things Every Software Architect Should Know: Collective Wisdom from the Experts","3.60","O'Reilly Media"
"Snow Crash","4.03","Spectra"
"ANSI Common Lisp","4.12","Pearson"
"An Introduction to Genetic Algorithms","3.75","Bradford Book"
"Writing Solid Code","4.09","Microsoft Press"
"Writing Secure Code","4.01","Microsoft Press"
"The Nature of Code","4.60","The Nature of Code"
"Computer System Architecture","3.80","Prentice Hall"
"C++ Standard Library: A Tutorial and Reference","4.15","Addison Wesley"
"The Design and Analysis of Computer Algorithms","3.85","Pearson"
"Combinatorial Optimization: Algorithms and Complexity","3.98","Dover Publications"
"The Art of Computer Programming, Volume 4, Fascicle 0: Introduction to Combinatorial Algorithms and Boolean Functions","4.53","Addison Wesley"
"Algorithms on Strings, Trees and Sequences: Computer Science and Computational Biology","4.05","Cambridge University Press"
"Analysis Patterns: Reusable Object Models","3.78","Addison Wesley"
"The Design and Evolution of C++","4.29","Addison Wesley"
"Design Patterns Explained: A New Perspective on Object-Oriented Design","3.87","Addison Wesley"
"Introduction to Machine Learning","3.67","MIT"
"Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World","3.36","Portfolio"
"Rise of the Robots: Technology and the Threat of a Jobless Future","4.03","Basic Books"
"High Performance Browser Networking","4.52","O'Reilly Media"
"Scrum: The Art of Doing Twice the Work in Half the Time","4.19","Crown Business"
"Data Science for Business: What you need to know about data mining and data-analytic thinking","4.17","O'Reilly Media"
"The Mathematical Theory of Communication","4.39","University of Illinois Press"
"The Shallows: What the Internet Is Doing to Our Brains","3.87","W. W. Norton Company"
"Object Thinking","3.97","Microsoft Press"
"Scala for the Impatient","4.12","Addison Wesley"
"Effective Programming: More Than Writing Code","3.91","Hyperink"
"Violent Python: A Cookbook for Hackers, Forensic Analysts, Penetration Testers and Security Engineers","4.03","Syngress Publishing"
"The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses","4.06","Currency"
"Digital Design and Computer Architecture","4.29","Morgan Kaufmann Publishers"
"Design Patterns in Ruby","4.16","Addison Wesley"
"Linux in a Nutshell","3.91","O'Reilly Media"
"Computer Vision: Algorithms and Applications","4.17","Springer"
"Writing for Computer Science","3.98","Springer"
"C: A Reference Manual","4.15","Prentice Hall"
"Quantum Computing for Computer Scientists","4.13","Cambridge University Press"
"To Mock a Mockingbird and Other Logic Puzzles","4.13","Oxford University Press, USA"
"Discrete Mathematics with Applications","3.94","Brooks Cole"
"Artificial Intelligence","3.82","McGraw-Hill"
"Computation: Finite and Infinite Machines (Automatic Computation)","4.57","Prentice Hall"
"sed & awk","3.83","O'Reilly Media"
"The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity","3.94","Sams Publishing"
"Software Craftsmanship","4.31","Leanpub"
"You Don't Know JS: Async & Performance","4.28","O'Reilly Media"
"You Don't Know JS: ES6 & Beyond","4.37","O'Reilly Media"
"The Architecture of Open Source Applications","3.68","Lulu"
"Modern C++ Design: Generic Programming and Design Patterns Applied","4.24","Addison Wesley"
"The Complete Software Developer's Career Guide: How to Learn Programming Languages Quickly, Ace Your Programming Interview, and Land Your Software Developer Dream Job","4.20","Simple Programmer"
"Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","4.12","Crown"
"Elements of Programming Interviews: The Insiders' Guide C++","4.28","Createspace Independent Publishing Platform"
"Hacking Exposed: Network Security Secrets & Solutions","3.77","McGraw-Hill"
"The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet","4.20","Scribner"
"Advanced Compiler Design and Implementation","3.90","Morgan Kaufmann Publishers"
"Getting Real: The Smarter, Faster, Easier Way to Build a Web Application","4.01","Self"
"The Art of Readable Code","3.93","O'Reilly Media"
"Digital Design","3.98","Prentice Hall"
"Language Implementation Patterns: Techniques for Implementing Domain-Specific Languages","3.80","Pragmatic Bookshelf"
"The Ruby Programming Language","4.02","O'Reilly Media"
"An Introduction to the Analysis of Algorithms","4.00","Addison Wesley"
"The Web Application Hacker's Handbook: Discovering and Exploiting Security Flaws","4.15","John Wiley & Sons"
"Python Machine Learning","4.30","Packt Publishing"
"Write Great Code: Volume 1: Understanding the Machine","3.92","No Starch Press"
"Doing Data Science","3.74","O'Reilly Media"
"The Shellcoder's Handbook: Discovering and Exploiting Security Holes","4.13","Wiley Publishing"
"The Science of Programming","3.90","Springer"
"Logic in Computer Science: Modelling and Reasoning about Systems","3.87","Cambridge University Press"
"Interaction Design: Beyond Human-Computer Interaction","3.72","John Wiley & Sons"
"Transaction Processing: Concepts and Techniques","4.38","Morgan Kaufmann Publishers"
"RESTful Web Services","3.84","O'Reilly Media"
"Object-Oriented Software Construction (Book/CD-ROM)","4.06","Prentice Hall"
"Literate Programming","3.86","Center for the Study of Language and Inf"
"Unix Network Programming, Volume 1: Networking APIs - Sockets and XTI","4.29","Prentice Hall"
"The Well-Grounded Rubyist","4.34","Manning"
"The Self-Taught Programmer: The Definitive Guide to Programming Professionally","4.05","Triangle Connection LLC"
"Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money","4.17","Harper"
"Haskell Programming From First Principles","4.48","Gumroad"
"Regular Expressions Cookbook","4.09","O'Reilly Media"
"You Don't Know JS: Types & Grammar","4.47","O'Reilly Media"
"Introduction to Java Programming: Comprehensive Version","4.08","Prentice Hall"
"JavaScript Patterns","4.17","O'Reilly Media"
"Elements of Information Theory","4.15","Wiley-Interscience"
"Practical Common LISP","4.14","Apress"
"Graph Databases","3.66","O'Reilly Media"
"Computational Fairy Tales","3.99","Createspace Independent Publishing Platform"
"Crypto: How the Code Rebels Beat the Government--Saving Privacy in the Digital Age","3.98","Penguin"
